./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
1110017D15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110018N20Rik	0.05	0.00	0.00	0.00	0.00	0.00
1110019D14Rik	4.19	1.65	1.99	1.52	1.93	1.76
1110020A21Rik	0.00	0.99	0.42	0.00	0.00	0.00
1110025L11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110025M09Rik	0.00	0.00	0.21	0.86	0.24	0.89
1110028F11Rik	0.16	0.00	0.06	0.00	0.00	0.00
1110028F18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110032A03Rik	9.47	3.35	2.58	5.28	7.71	5.12
1110032F04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110036E04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110038B12Rik	52.76	2.26	1.35	0.00	0.00	0.68
1110038F14Rik	28.65	14.78	7.61	5.05	3.73	7.47
1110046J04Rik	0.00	0.00	0.00	0.00	0.46	0.42
1110051M20Rik	18.72	0.90	1.59	0.84	0.81	0.33
1110057P08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110058D11Rik	0.00	0.00	0.00	0.00	0.00	1.08
1110059E24Rik	119.88	48.23	41.36	14.52	29.04	17.75
1110059G10Rik	5.12	3.27	2.12	1.60	2.91	2.03
1110065P20Rik	0.89	3.90	0.00	6.79	9.50	9.16
1190005I06Rik	0.00	0.00	0.00	0.00	0.00	0.91
1190007I07Rik	8.85	1.21	0.46	1.15	0.00	1.37
1190028D05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1300002E11Rik	5.80	0.00	0.57	1.61	0.00	0.78
1300017J02Rik	0.00	0.00	0.00	0.00	0.00	1.96
1500002C15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1500002F19Rik	0.39	0.34	0.65	0.22	0.68	0.07
1500004A13Rik	1.89	1.09	0.69	0.78	1.75	1.21
1500009C09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1500009L16Rik	0.41	0.00	0.00	0.00	0.00	0.00
1500011B03Rik	36.90	4.28	5.24	30.59	65.53	48.97
1500012K07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1500015A07Rik	6.98	1.45	1.33	1.38	5.20	3.79
1500015L24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1500026H17Rik	0.00	0.00	0.00	1.05	0.94	0.70
1500035N22Rik	0.64	0.00	0.00	0.00	0.00	1.09
1520401A03Rik	0.13	0.00	0.00	0.00	0.00	0.00
1600002D24Rik	0.00	0.00	0.00	0.21	0.30	0.14
1600010M07Rik	0.00	4.15	4.27	248.61	276.67	321.38
1600012H06Rik	33.24	56.55	59.73	52.39	78.37	66.18
1600012P17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600014C10Rik	83.45	139.15	236.76	221.64	276.30	280.18
1600014C23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600015H23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600019K03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600020E01Rik	18.82	11.90	6.43	0.54	4.49	0.68
1600023N17Rik	0.26	0.39	1.10	0.00	0.00	0.00
1600025M17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600027J07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600029I14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600029O15Rik	0.00	0.09	0.00	0.00	0.00	0.00
1700001C19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001D01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001F09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001G01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001G11Rik	0.00	0.29	0.27	0.00	0.00	0.00
1700001G17Rik	1.54	0.23	0.00	0.00	0.00	0.00
1700001J03Rik	0.00	0.00	1.48	0.05	1.41	0.07
1700001J04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001J11Rik	0.09	0.26	0.00	0.00	0.00	0.00
1700001K19Rik	0.00	0.00	0.80	0.26	0.18	0.16
1700001K23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001L05Rik	2.76	0.38	0.40	2.05	1.41	0.83
1700001L19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001O22Rik	0.87	0.00	0.00	0.00	0.00	0.00
1700001P01Rik	0.54	0.00	0.00	0.47	0.00	0.00
1700003C15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003D09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003E16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003E24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003F12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003G18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003H04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003I22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003L19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003M07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700003P14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700006A11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700006F04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700006H20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700006H21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700007F19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700007J10Rik	0.23	0.00	0.00	0.00	0.00	0.00
1700007K13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700007L15Rik	7.19	3.32	2.27	0.35	0.00	0.00
1700007P06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700008C04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700008J07Rik	2.86	0.40	0.19	0.32	0.55	0.91
1700008K24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700008O03Rik	0.79	0.00	0.00	0.00	0.00	0.00
1700008P02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700009C05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700009J07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700009N14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010B08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010D01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010G06Rik	1.03	0.00	0.00	0.59	0.00	0.33
1700010H22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010I02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010I14Rik	11.09	10.67	12.07	4.03	12.67	11.04
1700010J16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010K23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010L04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700010N08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700011B04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700011C11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700011L22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700011M02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012A03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012B07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012B09Rik	4.56	0.00	0.00	0.00	0.00	0.00
1700012C14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012D01Rik	0.00	0.68	0.00	0.00	0.00	0.00
1700012D14Rik	0.53	0.00	0.00	0.00	0.00	0.00
1700012D16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012H19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012I11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012J15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700012P22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700013D24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700013F07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700013G24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700013H16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700013N06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700014D04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700014L14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700015C15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700015G11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700015I17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016A09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016B01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016C15Rik	0.62	0.00	0.00	0.00	0.00	0.00
1700016C19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016D06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016G22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016H13Rik	0.39	0.00	0.00	0.00	0.00	0.00
1700016J18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016K05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016K19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016L04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016L21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700016P04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700017B05Rik	44.52	14.59	7.75	14.01	16.84	12.94
1700017G19Rik	0.00	0.00	0.13	0.08	0.00	0.10
1700017J07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700017L05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700017M07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700017N19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700018A04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700018A23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700018B08Rik	0.00	0.00	0.00	0.00	0.29	0.62
1700018B24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700018F24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700018G05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700018L02Rik	0.00	0.00	0.14	0.00	0.94	0.35
1700019A02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019C18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019D03Rik	1.21	0.14	0.04	0.22	0.00	0.14
1700019E08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019F05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019G24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019J19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019M22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019N19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700019P21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020A23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020D12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020D14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020G03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020G17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020L13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020L24Rik	19.27	45.52	11.09	1.79	0.36	0.65
1700020M21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020N01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020N15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700020N18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700021F02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700021F07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700021G15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700021L23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700021N21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700022A21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700022A22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700022E09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700022H01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700022H16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700022I11Rik	0.00	0.00	0.00	0.00	0.27	0.00
1700022N22Rik	0.89	0.00	0.00	0.00	0.00	0.00
1700023A20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700023C21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700023D09Rik	0.00	0.00	0.00	3.31	2.90	2.43
1700023F02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700023G09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700024B05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700024B18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700024G13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700024I08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700024J04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700024N05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025B11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025C18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025D23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025F24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025G04Rik	2.29	0.87	0.38	0.00	0.00	0.00
1700025H01Rik	0.00	0.00	0.39	0.00	0.00	0.00
1700025J12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025K04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025K24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025M24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700025N23Rik	0.00	0.00	0.43	1.87	0.75	1.36
1700025O08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700026D11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700026F02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700026J12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700026J14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700027A15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700027F06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700027F09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700027H10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700027I24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700027J07Rik	0.00	0.00	0.86	0.64	0.00	0.00
1700028B04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700028D13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700028E10Rik	0.42	0.40	0.30	0.97	0.40	0.00
1700028I16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700028J19Rik	1.25	1.26	0.59	1.85	3.61	1.41
1700028K03Rik	0.14	0.00	0.00	0.00	0.00	0.00
1700028M03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700028P14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700028P15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029B22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029F12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029H14Rik	0.00	0.00	0.00	0.24	0.87	0.00
1700029I15Rik	1.76	2.63	4.89	0.00	0.00	0.00
1700029J03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029J07Rik	0.46	0.00	0.00	0.63	0.23	0.79
1700029M03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029M20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029N11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700029P11Rik	0.00	0.19	0.00	0.00	0.00	0.00
1700030A11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030C10Rik	1.44	0.50	0.56	0.00	0.00	0.00
1700030C12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030C14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030F04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030I03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030J22Rik	0.77	0.13	0.00	0.07	1.04	0.58
1700030K09Rik	21.40	3.82	2.08	0.39	2.20	1.10
1700030L20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030L22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030M09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030N03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700030O20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700031A10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700031F05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700031L13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700031M16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700031P21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700034B16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700034E13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700034G24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700034H15Rik	0.00	0.00	0.00	0.00	0.06	0.00
1700034I23Rik	0.00	0.00	0.33	0.25	0.00	0.00
1700034J05Rik	0.10	0.09	0.00	0.00	0.00	0.00
1700034K08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700034P13Rik	0.45	0.31	0.52	0.56	1.40	1.17
1700036A12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700036G14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700037C18Rik	3.89	1.57	2.56	5.53	5.02	5.12
1700037F03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700037H04Rik	124.85	145.92	86.54	45.09	34.30	27.49
1700039E22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700039I01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700039M10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700040D17Rik	2.23	0.00	0.00	0.00	0.00	0.00
1700040F15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700040G22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700040K01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700040P09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700041A01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700041B01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700041C23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700041G16Rik	0.00	0.48	0.75	3.70	5.40	1.68
1700041I07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700041M19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700042G07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700042G15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700042O10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700044C05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700044K03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700045H11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700046C09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700047A11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700047E10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700047F07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700047G03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700047L14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700047M11Rik	0.00	7.60	23.66	14.18	1.13	4.14
1700048B10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700048F04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700048M11Rik	0.00	0.00	0.62	0.00	0.00	0.99
1700048O14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700048O20Rik	1.69	0.18	0.00	0.00	0.00	0.00
1700049E15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700049E17Rik1	0.00	0.00	0.00	0.00	0.00	0.00
1700049E17Rik2	0.00	0.00	0.00	0.00	0.00	0.00
1700049E22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700049J03Rik	0.92	0.15	0.59	1.85	6.35	3.21
1700049L16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700051A21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700052H01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700052I22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700052K11Rik	4.89	2.69	2.52	1.74	2.30	2.32
1700054A03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700054K19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700054M17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700054O19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700055C04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700055D16Rik	0.00	0.00	0.30	0.37	0.52	0.83
1700055D18Rik	1.20	0.79	0.00	0.00	0.37	0.51
1700055K11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700055L01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700056E22Rik	0.27	0.00	0.00	0.00	0.00	0.00
1700057G04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700057H15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700057H21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700060C16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700060C20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700060J05Rik	0.00	0.00	0.00	0.00	0.29	0.00
1700061F12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700061I17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700061J23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700061N14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700062C10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700063A18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700063D05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700063H04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700063H06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700063O14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700064F23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700064J06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700064M15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700065D16Rik	0.00	0.00	0.00	0.67	0.00	0.00
1700065I16Rik	0.00	0.00	0.25	0.00	0.00	0.00
1700065J11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700065J18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700065L07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700065O20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700066B17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700066B19Rik	0.17	0.00	0.00	0.00	0.00	0.00
1700066C05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700066J03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700066M21Rik	21.41	25.09	13.08	4.66	4.65	3.82
1700066N21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700066O22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700067G17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700067K01Rik	0.00	0.00	0.00	0.00	0.44	0.41
1700067P10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700069L16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700069P05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700071G01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700071K01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700071M16Rik	0.28	0.00	1.00	45.29	101.48	101.93
1700072B07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700072F12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700072I22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700072O05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700073E17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700074H08Rik	0.68	0.00	0.00	0.00	0.00	0.00
1700074P13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700080F18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700080G11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700080N15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700081B01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700081H04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700082M22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700083H02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700084D21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700084E18Rik	0.00	0.00	0.78	0.00	0.00	0.00
1700084F23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700084J12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700084M14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700085C21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700086D15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700086L19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700086O06Rik	1.14	0.93	0.29	0.38	0.00	0.00
1700086P04Rik	0.00	0.82	0.00	0.00	0.22	0.00
1700087M22Rik	0.00	0.00	0.00	0.00	0.00	0.00
