GeneSymbol	GMP	preNeutrophil	Immature Neutrophil	Mature Neutrophil	Blood Neutrophil 1	Blood Neutrophil 2
Cd177	-1.6323487	0.836132144	1.090091437	0.410725436	-0.476990234	-0.227610083
Adpgk	-0.6017484	0.949478104	1.214720704	0.459784277	-1.059726307	-0.962508378
Ly6c2	1.17010796	0.742984898	0.350412636	0.128120355	-1.395412351	-0.996213498
Cybb	-0.62049167	1.075892084	1.378952717	-0.086291253	-0.97559218	-0.772469697
Serpinb1a	0.548145888	1.107289971	0.948202266	-0.420762532	-1.177587174	-1.00528842
Anxa3	0.906526338	0.805516787	0.89941207	-0.365629594	-1.302995162	-0.94283044
Chil3	-0.866280294	1.294155897	1.229891958	-0.449525802	-0.859157365	-0.349084394
Ckap4	-1.110609461	1.258009944	1.095674125	0.142000259	-0.737679152	-0.647395715
Ly6g	-1.874621732	0.52811959	0.836676279	0.658887028	-0.250050002	0.100988837
Ifitm6	-1.841311108	0.534115292	0.96028199	0.595001439	-0.217189696	-0.030897918
Mmp8	-1.728181679	-0.614862051	0.727759671	0.927442633	0.276891416	0.410950009
Mgst1	-1.711926372	0.128604898	0.088416993	1.420826071	0.145346134	-0.071267723
Tkt	0.333407239	0.766251663	1.336123051	-0.264148667	-1.296414732	-0.875218554
Cd3d	-1.514792214	-0.593171648	0.753509005	0.924768043	0.862247767	-0.432560953
Lgals3	-1.831464898	-0.191620888	0.55413398	1.112760978	0.189934948	0.16625588
Aldh2	-0.41856171	0.556616027	1.681908152	-0.160407432	-1.206193283	-0.453361754
Lcn2	-1.830953987	0.818249472	0.87413897	0.311278155	-0.312351268	0.139638657
